firstname,lastname,department,username,password,OU1,OU2,OU3,DC1,DC2,DC3
Michael,O’Neill,Director,MichaelO’Neill,Optimus12345,OU=ManagingDirectors,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Nico,Hassan,Engineer,NicoHassan,Optimus12345,OU=SeniorEngineers,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Ruben,Flynn,Engineer,RubenFlynn,Optimus12345,OU=SeniorEngineers,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Ashley,Osborne,Engineer,AshleyOsborne,Optimus12345,OU=SeniorEngineers,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Allison,Singleton,Manager,AllisonSingleton,Optimus12345,OU=ProjectManagers,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Robert,Flanigan,Manager,RobertFlanigan,Optimus12345,OU=ProjectManagers,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Piers,McCulloch,Manager,PiersMcCulloch,Optimus12345,OU=ProjectManagers,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Tiffany,Lin,Engineer,TiffanyLin,Optimus12345,OU=StructuralEngineers,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Kaci,Durham,Engineer,KaciDurham,Optimus12345,OU=StructuralEngineers,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Aliyah,Casey,Engineer,AliyahCasey,Optimus12345,OU=StructuralEngineers,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Lauryn,McCartney,Engineer,LaurynMcCartney,Optimus12345,OU=StructuralEngineers,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Siobhan,Morales,Engineer,SiobhanMorales,Optimus12345,OU=StructuralEngineers,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
